"plenPropId";"plenPropDesc";"propRelacSigla";"propRelacNumero";"propRelacAno";"propRelacId";"propRelacApelido";"propRelacEmenta";"propRelacOrgaoOrigem"
"100000565";"SUPRESSAO EXPRESSAO ""CONVINIENCIA"" E ""OPORTUNIDADE""";;;;;;;
"100000566";"DESTAQUE INCISO V DO ART. 3";;;;;;;
"100000567";"SUBEMENDA A EMENDA N.5.";;;;;;;
"100000568";"REQUERIMENTO DE URGENCIA RES. N.18/91.";;;;;;;
"100000569";"EMENDA N.9 RES.18";;;;;;;
"100000571";"ART 1 INCISO 8 DO SUBSTITUTIVO DO SENADO";;;;;;;
"100000575";"REQUERIMENTO DE VOTACAO EM GLOBO.";;;;;;;
"100000576";"MATERIA DESTACADA EM GLOBO.";;;;;;;
"100000577";"SUBSTUTUTIVO DO SENADO";;;;;;;
"100000578";"MATERIA DESTACADA EM GLOBO";;;;;;;
"100000579";"ADIAMENTO DE DISCUSSAO PLC N.202.";;;;;;;
"100000584";"DEST.SUPRE.INC.2 ART.25 SUBST.SEGURIDADE";;;;;;;
"100000585";"INVERSAO DA PAUTA";;;;;;;
"100000586";"REQ. PREF. TEXTO FINANCAS";;;;;;;
"100000587";"DVS SERRA EXPRESSAO  QUE ATINJAM...ART.2, III";;;;;;;
"100000588";"DESTAQUE SUPRESSAO ART. 13";;;;;;;
"100000594";"EMENDA N. 37";;;;;;;
"100000595";"EMENDA N. 40";;;;;;;
"100000596";"EMENDA N. 41";;;;;;;
"100000597";"EMENDA N. 46";;;;;;;
"100000598";"VERIFICACAO REQ. ADIAMENTO DISCUSSAO PARECER 18/90";;;;;;;
"100000599";"REQUERIMENTO DE PREFERENCIA EMENDA N.30";;;;;;;
"100000606";"recursso 1/91questao de ordem pl 824/91";;;;;;;
"100000612";"REQUERIMENTO VOTO LOUVOR - OLIMPIADA 2.000.";;;;;;;
"100000613";"REQUERIMENTO VOTO LOUVOR - OLIMPIADA 2.000.";;;;;;;
"100000623";"RESOLUCAO No. 78/91  EMENDA GENEBALDO CORREIA";;;;;;;
"100000624";"RESOLUCAO 78/91 - PROJETO.";;;;;;;
"100000651";"VERIFICACAO PREVIA - LDB";;;;;;;
"100000702";"MENSAGEM N. 498 - REQUERIMENTO DE URGENCIA";;;;;;;
"100000748";"PARECER DA CCJR - OF. 373-P/91 - STF";;;;;;;
"100000749";"PARECER CCJR - LICENCA RAQUEL CANDIDO";;;;;;;
"100000776";"REQUERIMENTO URGENCIA PL 2452/91 E OUTROS";;;;;;;
"100000777";"REQUERIMENTO DE INVERSAO DE PAUTA.";;;;;;;
"1";"MEMBROS DOS CONSELHOS: NACIONAL DE JUSTIÇA E MINISTÉRIO PÚBLICO";"    ";"0";"2005";;;;
"2";"MESA DIRETORA - BIÊNIO 2005/2006 - SEGUNDO ESCRUTÍNIO";"    ";"0";"2005";;;;
"688";"LICENÇA - DEPUTADO ARY KARA";"    ";"0";"0";;;;
"689";"LICENÇA - DEPUTADO FETTER JR.";"    ";"0";"0";;;;
"691";"LICENÇA - DEPUTADO ARNALDO FARIA DE SÁ";"    ";"0";"0";;;;
"692";"LICENÇA - DEPUTADO ADÃO PRETTO";"    ";"0";"0";;;;
"700";"LICENÇA - DEPUTADO FRANCISCO RODRIGUES";"    ";"0";"0";;;;
"701";"LICENÇA - DEPUTADO NELSON TRAD";"    ";"0";"0";;;;
"703";"LICENÇA - DEPUTADO GIOVANNI QUEIROZ";"    ";"0";"0";;;;
"705";"LICENÇA - DEPUTADO VALDEMAR COSTA NETO";"    ";"0";"0";;;;
"708";"LICENÇA - DEPUTADO RICARDO BARROS";"    ";"0";"0";;;;
"709";"LICENÇA - DEPUTADO ARNALDO FARIA DE SÁ";"    ";"0";"0";;;;
"711";"LICENÇA - DEPUTADO EXPEDITO JÚNIOR";"    ";"0";"0";;;;
"712";"LICENÇA - DEPUTADO JÚLIO REDECKER";"    ";"0";"0";;;;
"713";"LICENÇA - DEPUTADO VITTÓRIO MEDIOLI";"    ";"0";"0";;;;
"714";"LICENÇA - DEPUTADO LUIZ FERNANDO";"    ";"0";"0";;;;
"715";"LICENÇA - DEPUTADO FLÁVIO DERZI";"    ";"0";"0";;;;
"716";"LICENÇA - DEPUTADO SÉRGIO BARCELOS";"    ";"0";"0";;;;
"717";"LICENÇA - DEPUTADO LUIZ MAINARDI";"    ";"0";"0";;;;
"719";"LICENÇA  -  DEPUTADO ENIO BACCI";"    ";"0";"0";;;;
"720";"LICENÇA - DEPUTADO ARMANDO ABÍLIO";"    ";"0";"0";;;;
"721";"LICENÇA - DEPUTADO WILSON BRAGA";"    ";"0";"0";;;;
"722";"LICENÇA - DEPUTADO EDSON ANDRINO";"    ";"0";"0";;;;
"723";"LICENÇA  -  DEPUTADO VALDEMAR COSTA NETO";"    ";"0";"0";;;;
"728";"LICENÇA - DEPUTADO NELSON MARQUEZELLI";"    ";"0";"0";;;;
"729";"LICENÇA - DEPUTADO EURICO MIRANDA";"    ";"0";"0";;;;
"3009";"MESA DIRETORA - BIÊNIO 2005/2006 - PRIMEIRO ESCRUTÍNIO TODOS OS CARGOS";"    ";"0";"0";;;;
"3010";"MESA DIRETORA - BIÊNIO 2005/2006 - SEGUNDO ESCRUTÍNIO PARA PRESIDENTE";"    ";"0";"0";;;;
"3035";"CONCESSÃO DO EFEITO SUSPENSIVO - DEP. RODRIGO MAIA - PFL";"    ";"0";"0";;;;
"3105";"PARA O CARGO DE MINISTRO DO TCU";"    ";"0";"0";;;;
"3106";"PARA O CARGO DE PRESIDENTE DA CÂMARA DOS DEPUTADOS PRIMEIRO  ESCRUTÍNIO";"    ";"0";"0";;;;
"3107";"PARA O CARGO DE PRESIDENTE DA CÂMARA DOS DEPUTADOS SEGUNDO  ESCRUTÍNIO";"    ";"0";"0";;;;
"3259";"CONTRA O DEPUTADO JOSÉ JANENE - PP/PR";"    ";"0";"0";;;;
"3314";"INCLUSÃO EM PAUTA DA CONVOCAÇÃO MINISTRO JUSTIÇA";"    ";"0";"0";;;;
"3394";"INCLUSÃO EM PAUTA - REQUERIMENTO CONVOCAÇÃO MINISTRO";"    ";"0";"0";;;;
"3508";"PARA CARGO DE MINISTRO DO TRIBUNAL DE CONTAS DA UNIÃO";"    ";"0";"0";;;;
"3663";"CPI - CRISE ÁEREA - CONCESSÃO DE EFEITO SUSPENSIVO";"    ";"0";"0";;;;
"3664";"CPI TRÁFEGO AÉREO - CONCESSÃO DO EFEITO SUSPENSIVO";"    ";"0";"0";;;;
"4811";"REQ PARA REALIZAÇÃO DE SESSÃO EXTRAORDINÁRIA PARA VOTAÇÃO DO PLP 306 DE 2008";"    ";"0";"0";;;;
"5564";"PREFERÊNCIA PARA O ITEM IV DA MATÉRIA SOBRE A MESA";"    ";"0";"0";;;;
"7423";"MODIFICAÇÃO DA PAUTA";"    ";"0";"0";;;;
"7586";"MEMBRO CNJ - CANDIDATO ÚNICO - MARCELO ROSSI NOBRE";"    ";"0";"0";;;;
"7810";"PREF. P/ APRECIAÇÃO DA PAUTA NA SEG. ORDEM: MPVs Nºs 480/2010, 475/2009...";"    ";"0";"0";;;;
"7868";"PREF. P/ APRECIAÇÃO DA MPV Nº 475/2009";"    ";"0";"0";;;;
"7936";"MEMBRO CNMP - CANDIDATO ÚNICO - LUIZ MOREIRA GOMES JUNIOR";"    ";"0";"0";;;;
"8071";"PREF. P/ O ITEM 2";"    ";"0";"0";;;;
"9219";"CONVOCAÇÃO PARA SESSÃO EXTRAORDINÁRIA - VOT. REQ. CONV. MINISTRO";"    ";"0";"0";;;;
"10050";"PARA MEMBRO DO CNJ - EMMANOEL CAMPELO DE SOUZA PEREIRA";"    ";"0";"0";;;;
"10255";"PARA O CNMP - SR. LUIZ MOREIRA GOMES JÚNIOR";"    ";"0";"0";;;;
"11547";"ENCERRAMENTO DA DISCUSSÃO";"    ";"0";"0";;;;
"12478";"Nº 26 DE 2015 - AUMENTO DA REMUNERAÇÃO DOS SERVIDORES DO JUDICIÁRIO";"    ";"0";"0";;;;
"12601";"Nº 29/2014 - REQ. ENCERRAMENTO DA DISCUSSÃO";"    ";"0";"0";;;;
"12603";"Nº 30/2016 -  PT/SF E CD- FUNDO DE AVIAÇÃO CIVIL; REGRAS DE SERVIÇOS AÉREOS";"    ";"0";"0";;;;
"12966";"PREFERÊNCIA PARA VOTAÇÃO DO PRC 223/2013";"    ";"0";"0";;;;
"13008";"Nº 44 DE 2013";"    ";"0";"0";;;;
"13009";"Nº 45 DE 2013 -  DVS ART. 21";"    ";"0";"0";;;;
"13010";"Nº 46, DE 2013";"    ";"0";"0";;;;
"13032";"Nº 45 DE 2013";"    ";"0";"0";;;;
"13034";"Nº 44, DE 2015 - INCLUSÃO DO TURISMO RURAL COMO ATIVIDADE RURAL";"    ";"0";"0";;;;
"13116";"MEMBRO DO CNJ - EMMANOEL CAMPELO DE SOUZA PEREIRA";"    ";"0";"0";;;;
"13117";"Nº 34 DE 2014 - ""CONTRIBUIÇÃO DOS DOMÉSTICOS""";"    ";"0";"0";;;;
"13182";"Nº 49 DE 2015 - ""DESAPOSENTAÇÃO""";"    ";"0";"0";;;;
"13652";"PREFERÊNCIA PARA VOTAÇÃO DAS MPVS 634/2013, 636/2013 E 638/2014, APÓS O ITEM 2";"    ";"0";"0";;;;
"13896";"CONSULTA SOBRE A  MODIFICAÇÃO DA ORDEM DO DIA";"    ";"0";"0";;;;
"13909";"REQUERIMENTO DE PREFERÊNCIA";"    ";"0";"0";;;;
"14108";"Nº 10 DE 2015 - SUBSÍDIOS FEDERAIS A SERVIDORES DOS EX-TERRITÓRIOS";"    ";"0";"0";;;;
"14148";"Vetos Presidenciais";"    ";"0";"0";;;;
"14156";"REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO";"    ";"0";"0";;;;
"14251";"Nº 30 DE 2014 - VOTAÇÃO EM GLOBO";"    ";"0";"0";;;;
"14616";"Nº 4 DE 2015 - ÍTENS 9.084 A 9.094";"    ";"0";"0";;;;
"14618";"Nº 4 DE 2015 - ÍTENS 9.01 A 9.02";"    ";"0";"0";;;;
"14619";"Nº 4 DE 2015 - ÍTENS 9.119  A 9.121 ""MÁQUINAS AGRÍCOLAS""";"    ";"0";"0";;;;
"14620";"Nº 4 DE 2015 - ÍTENS 9.199 A 9.206 E 9.211 A 9.212 ""IMPOSTO DE RENDA""";"    ";"0";"0";;;;
"14621";"Nº 4 DE 2015 - ÍTENS 9.029  A 9.037 ""PARCELAMENTO DE DÉBITOS""";"    ";"0";"0";;;;
"14695";"PREFERÊNCIA PARA O PL 177/2015, APOS O ITEM Nº 1";"    ";"0";"0";;;;
"15023";"MEMBRO DO CNMP - CANDIDATO ÚNICO - GUSTAVO DO VALE ROCHA";"    ";"0";"0";;;;
"16527";"Nº 16 DE 2015 - OBRIGAÇÃO PARA ESCOLAS DE EDUCAÇÃO BÁSICA";"    ";"0";"0";;;;
"17107";"Nº 29 DE 2015 - VALORIZAÇÃO DO SAL. MÍN. E DOS BENEFÍCIOS PAGOS AOS APOSENTADOS";"    ";"0";"0";;;;
"17109";"Nº 38 DE 2015 - DESONERAÇÃO DA FOLHA DE PAG. DO SET. DE VESTUÁRIOS E SEUS ACESS.";"    ";"0";"0";;;;
"17110";"Nº 42 DE 2015 - IMPRESSÃO DO REGISTRO DE VOTO - SUBITENS 4.012 A 4.014";"    ";"0";"0";;;;
"17111";"Nº 43 DE 2015 - ISENÇÃO TRIBUTÁRIA A EMPREENDIMENTOS NO NORDESTE E AMAZÔNIA";"    ";"0";"0";;;;
"17112";"Nº 33 DE 2015 - FUNDO DE RESERVA E TRANSFERÊNCIA DE DEPÓSITOS";"    ";"0";"0";;;;
"17126";"Nº 42/2015 - FINANC. EMPRESARIAL DE CAMPANHAS ELEITORAIS -SUBITENS 4.001 A 4.011";"    ";"0";"0";;;;
"17173";"Nº 45, DE 2015 - INCLUSÃO DO PROGR. DE HABIL. DOS PROF. DE SEG. PÚBLICA NO PMCMV";"    ";"0";"0";;;;
"17174";"Nº 46, DE 2015 - APOSENT. COMPULSÓRIA DOS SERV. PÚBLICOS AOS 75 ANOS DE IDADE";"    ";"0";"0";;;;
"17193";"Nº 47, DE 2015 - REGULAMENTAÇÃO DA PROFISSÃO DE DESIGNER";"    ";"0";"0";;;;
"17214";"MODIFICAÇÃO DA PAUTA";"    ";"0";"0";;;;
"17603";"COMISSÃO ESPECIAL";"    ";"0";"0";;;;
"17746";"SUPLEMENTAR PARA AS VAGAS NA COMISSÃO ESPECIAL DESTINADA A DAR PARECER ...";"    ";"0";"0";;;;
"17760";"ENCERRAMENTO DA DISCUSSÃO DO PARECER DA COMISSÃO ESPECIAL - DCR Nº 1/2015";"    ";"0";"0";;;;
"17762";"DA COMISSÃO ESPECIAL DCR Nº 1/2015";"    ";"0";"0";;;;
"17959";"Nº 56 DE 2015 - ANISTIA A POLICIAIS E BOMBEIROS";"    ";"0";"0";;;;
"17960";"Nº 62 DE 2015 - REPASSE A MUN. DE REC. ADVINDA DA ALIENAÇÃO DE IMÓVEIS DA UNIÃO";"    ";"0";"0";;;;
"17965";"Nº 64 DE 2015 - PISO DE RECURSOS PARA SAÚDE";"    ";"0";"0";;;;
"17997";"Nº 53 DE 2015 - DÍVIDAS DO PROÁLCOOL";"    ";"0";"0";;;;
"17998";"Nº 55/2015 - APÓLICES DE SEGURO RURAL";"    ";"0";"0";;;;
"18002";"Nº 61 DE 2015 - USO DE LÍNGUAS INDÍGENAS NA EDUCAÇÃO";"    ";"0";"0";;;;
"18003";"Nº 1 DE 2016 - CIÊNCIA E TECNOLOGIA";"    ";"0";"0";;;;
"18004";"Nº 3 DE 2016 - EMBRAPA COCAIS E AUDITORIA DA DÍVIDA PÚBLICA";"    ";"0";"0";;;;
"18005";"Nº 4 DE 2016 - DESTINAÇÃO DA ARRECADAÇÃO DA MULTA TRIBUTÁRIA";"    ";"0";"0";;;;
"18006";"Nº 6 DE 2016 - TIPIFICAÇÃO DO TERRORISMO";"    ";"0";"0";;;;
"18008";"Nº 12 DE 2016 - ATO DE REVISTA ÍNTIMA PRISIONAL";"    ";"0";"0";;;;
"18009";"Nº 10 DE 2016 - ORGANIZAÇÃO DA ESTRUTURA DO PODER EXECUTIVO";"    ";"0";"0";;;;
"18011";"Nº 63 DE 2015 - ALÍQUOTA DE IPI PARA BEBIDAS QUENTES; PROGRAMA DE INCLUSÃO....";"    ";"0";"0";;;;
"18108";"QUEBRA DE INTERSTÍCIO PARA A PEC Nº 4/2015";"    ";"0";"0";;;;
"18398";"Nº 13 DE 2016 - BL. RESIST. DEMOCRÁTICA/SF -  RECURSOS DO MINHA CASA MINHA VIDA";"    ";"0";"0";;;;
"18400";"Nº 15  DE 2016 - DTQ.: PP/CD E PSDB/CD - ALTERAÇÕES NO CÓDIGO DE TRÂNSITO";"    ";"0";"0";;;;
"18488";"ADMITE MODIFICAÇÃO DA PAUTA";"    ";"0";"0";;;;
"18512";"Nº 16  DE 2016 - DTQ.: PT/CD - GARANTIA À EMPREGADA GESTANTE OU LACTANTE";"    ";"0";"0";;;;
"18513";"Nº 22  DE 2016 - DTQ.: PT - SANÇÕES ÀS INSTITUIÇÕES DO SISTEMA FINANCEIRO...";"    ";"0";"0";;;;
"18514";"Nº 24  DE 2016 - DTQ.: PSOL - PAGAMENTO DE DÍVIDAS COM COMBUSTÍVEL";"    ";"0";"0";;;;
"18518";"Nº 29/2016 - BL.RD/SF E PSDB/CD - ISENÇÃO DE IR SOBRE VALORES RECEBIDOS NO...";"    ";"0";"0";;;;
"18534";"Nº 28  DE 2016 - DTQ.: PT/CD - DEFINE DESASTRE PARA FINS DE LIBERAÇÃO DO FGTS";"    ";"0";"0";;;;
"18755";"Nº 32/2016 -  PT/CD - INCORPORAÇÃO DE GRATIFICAÇÃO PARA FISCAIS AGROPECUÁRIOS";"    ";"0";"0";;;;
"18756";"Nº 33/2016 -  PT/CD - CARREIRA DOS SERVIDORES DAS AGÊNCIAS REGULADORAS";"    ";"0";"0";;;;
"18757";"Nº 34/2016 -  PT/CD - ENSINO SUPERIOR BACEN E CGU; EQUIP. DE AUDITORES E FISCAIS";"    ";"0";"0";;;;
"18758";"Nº 35/2016 -  PT/CD - CARREIRA DE ANALISTA DE TI";"    ";"0";"0";;;;
"18759";"Nº 31/2016 -  PT/CD - REAJUSTE DOS SERVIDORES DA CD - EFEITOS E VIGÊNCIA";"    ";"0";"0";;;;
"18760";"INVERSÃO DE PAUTA";"    ";"0";"0";;;;
"18830";"PARECER DA C.M. P/ ATEND. DOS PRESSUPOSTOS CONSTITUCIONAIS...";"    ";"0";"0";;;;
"18832";"PROJETO DE LEI DE CONVERSÃO Nº 29/2016";"    ";"0";"0";;;;
"18833";"PROJETO DE LEI DE CONVERSÃO Nº 28/2016";"    ";"0";"0";;;;
"18835";"DTQ. 1 - PT - EMENDA Nº 68";"    ";"0";"0";;;;
"18836";"DTQ. 2 - PT - EMENDA Nº 67";"    ";"0";"0";;;;
"18837";"DTQ. 3 - PSD - VOTAÇÃO EM SEPARADO DO PARÁG. 1C, DO ART. 26 DA LEI 9427...";"    ";"0";"0";;;;
"18838";"DTQ. 4 - PSD - ART. 6º DO TEXTO ORIGINAL DA MPV EM SUBST. AO ART. 17...";"    ";"0";"0";;;;
"18853";"DTQ 1: PROS - EMENDA Nº 2 (161, II)";"    ";"0";"0";;;;
"18858";"Nº 35/2016 - PT/CD - CARREIRA DE ANALISTA EM TECNOLOGIA DA INFORMAÇÃO";"    ";"0";"0";;;;
"18860";"Nº 36/2016 - PT/CD  e PT/SF - INCENTIVOS FISCAIS PARA SANEAMENTO BÁSICO (REISB)";"    ";"0";"0";;;;
"18861";"Nº 37/2016 - PT/CD, PT/SF e PTB/CD - REAJUSTE DA DEFENSORIA PÚBLICA DA UNIÃO";"    ";"0";"0";;;;
"18985";"PROJETO DE LEI DE CONVERSÃO Nº 32/2016";"    ";"0";"0";;;;
"19047";"REQUERIMENTO DE RETIRADA DE PAUTA";"    ";"0";"0";;;;
"19116";"PARECER DA C.M. P/ ATEND. DOS PRESSUPOSTOS CONSTITUCIONAIS...";"    ";"0";"0";;;;
"19156";"DTQ. 1 - PSD - EMENDA Nº 1";"    ";"0";"0";;;;
"19157";"DTQ. 2 - PSOL - EMENDA Nº 2";"    ";"0";"0";;;;
"19158";"SUBSTITUTIVO DA COMISSÃO ESPECIAL";"    ";"0";"0";;;;
"19162";"DTQ. 5 - DEM - §6º DO ART. 47 DO SUBSTITUTIVO...";"    ";"0";"0";;;;
"19222";"EMENDA DO SENADO FEDERAL";"    ";"0";"0";;;;
"19223";"REQUERIMENTO DE VOTAÇÃO NOMINAL DO REQ. DE RETIRADA DE PAUTA";"    ";"0";"0";;;;
"19224";"PROJETO DE LEI DE CONVERSÃO Nº 35/2016";"    ";"0";"0";;;;
"19225";"PARECER DA C.M. P/ ATEND. DOS PRESSUPOSTOS CONSTITUCIONAIS...";"    ";"0";"0";;;;
"19231";"REQUERIMENTO DE RETIRADA DE PAUTA";"    ";"0";"0";;;;
"19232";"REQUERIMENTO DE VOTAÇÃO NOMINAL DO REQ. DE RETIRADA DE PAUTA";"    ";"0";"0";;;;
"19236";"DTQ 6: PSOL - EMENDA Nº 36";"    ";"0";"0";;;;
"19237";"DTQ 5: PCdoB - EMENDA Nº 32";"    ";"0";"0";;;;
"19247";"DTQ 3: PT- EMENDA Nº 30";"    ";"0";"0";;;;
"19268";"SUBSTITUTIVO DA MESA DIRETORA";"    ";"0";"0";;;;
"19362";"REQUERIMENTO DE RETIRADA DE PAUTA";"    ";"0";"0";;;;
"19364";"REQUERIMENTO DE VOTAÇÃO NOMINAL DO REQ. DE RETIRADA DE PAUTA";"    ";"0";"0";;;;
"19367";"PROJETO DE RESOLUÇÃO";"    ";"0";"0";;;;
"19447";"SUBSTITUTIVO DO SENADO FEDERAL";"    ";"0";"0";;;;
"19478";"DTQ. 2 - PT - ART. 2º DO PLV";"    ";"0";"0";;;;
"19479";"DTQ. 7 - PT - ART. 3º DO PLV";"    ";"0";"0";;;;
"19481";"DTQ. 5 - PDT - CAPUT DO ART. 6º DA EMENDA Nº 26";"    ";"0";"0";;;;
"19492";"EMENDAS DO SENADO FEDERAL";"    ";"0";"0";;;;
"19510";"EMENDA Nº 2 DO SENADO FEDERAL";"    ";"0";"0";;;;
"19512";"URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4411/2016";"    ";"0";"0";;;;
"19514";"URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5000/2016";"    ";"0";"0";;;;
"19515";"URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4176/2015";"    ";"0";"0";;;;
"19518";"URGÊNCIA PARA APRECIAÇÃO DO PL Nº  3837/2015";"    ";"0";"0";;;;
"19519";"URGÊNCIA PARA APRECIAÇÃO DO PL Nº  3012/2015";"    ";"0";"0";;;;
"19523";"EMENDA ADOTADA PELA CTASP";"    ";"0";"0";;;;
"19529";"URGÊNCIA PARA APRECIAÇÃO DO PL Nº 622/2015";"    ";"0";"0";;;;
"19530";"URGÊNCIA PARA APRECIAÇÃO DO PL Nº 3452/2015";"    ";"0";"0";;;;
"19533";"URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5248/2016";"    ";"0";"0";;;;
"19534";"URGÊNCIA PARA APRECIAÇÃO DO PL Nº 3.170/2015";"    ";"0";"0";;;;
"19535";"URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5654/2016";"    ";"0";"0";;;;
"19539";"URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5.346/2016";"    ";"0";"0";;;;
"19587";"REQUERIMENTO DE QUEBRA DE INTERSTÍCIO";"    ";"0";"0";;;;
"19590";"REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO E DO ENCAMINHAMENTO";"    ";"0";"0";;;;
"19596";"DTQ 2: PDT - §1º DO ART. 2º DA LEI Nº 6.019/74 (ART. 1º DO SUBSTITUTIVO DO SF)";"    ";"0";"0";;;;
"19626";"REQUERIMENTO DE RETIRADA DE PAUTA";"    ";"0";"0";;;;
"19631";"REQUERIMENTO DE VOTAÇÃO NOMINAL DO REQUERIMENTO DE RETIRADA DE PAUTA";"    ";"0";"0";;;;
"19767";"REQUERIMENTO DE RETIRADA DE PAUTA";"    ";"0";"0";;;;
"19802";"REQ. DE VOTAÇÃO EM GLOBO DA ADMISSIBILIDADE DOS DESTAQUES SIMPLES";"    ";"0";"0";;;;
"19824";"CONSULTA SOBRE VOTAÇÃO PARCELADA";"    ";"0";"0";;;;
"19830";"DTQ 53 - PT - EMENDA DE PLENÁRIO Nº 13";"    ";"0";"0";;;;
"19839";"DTQ 3: PMDB - DA REDAÇÃO PROPOSTA AO ART. 34-A DA LEI Nº 10233/01...";"    ";"0";"0";;;;
"19842";"DTQ 8: BLOCO PP. PTN, PTdoB - EMENDA Nº 63";"    ";"0";"0";;;;
"19846";"DTQ 12: PT - EMENDA Nº 75";"    ";"0";"0";;;;
"19857";"MEDIDA PROVISÓRIA";"    ";"0";"0";;;;
"19875";"PARECER DA C.M. P/ ATEND. DOS PRESSUPOSTOS CONSTITUCIONAIS...";"    ";"0";"0";;;;
"19894";"REQUERIMENTO DE VOTAÇÃO NOMINAL DO REQ. DE RETIRADA DE PAUTA";"    ";"0";"0";;;;
"19903";"DTQ 15: PSB - EMENDA Nº 31";"    ";"0";"0";;;;
"19908";"REQUERIMENTO DE QUEBRA DE INTERSTÍCIO";"    ";"0";"0";;;;
"19910";"REQUERIMENTO DE RETIRADA DE PAUTA";"    ";"0";"0";;;;
"19950";"REQUERIMENTO DE RETIRADA DE PAUTA";"    ";"0";"0";;;;
"19951";"REQUERIMENTO DE RETIRADA DE PAUTA";"    ";"0";"0";;;;
"19963";"PROJETO DE LEI DE CONVERSÃO Nº 04/2017";"    ";"0";"0";;;;
"19982";"REQUERIMENTO DE QUEBRA DE INTERSTÍCIO";"    ";"0";"0";;;;
"19985";"REQUERIMENTO DE QUEBRA DE INTERSTÍCIO";"    ";"0";"0";;;;
"19993";"DTQ. 10: PSD - EMENDA Nº 2";"    ";"0";"0";;;;
"19996";"DTQ. 7: PPS - ART. 5º DO PLV Nº 5/2017";"    ";"0";"0";;;;
"19997";"REQUERIMENTO DE VOTAÇÃO PELO PROCESSO NOMINAL";"    ";"0";"0";;;;
"19999";"REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES";"    ";"0";"0";;;;
"20002";"VOTAÇÃO EM GLOBO DAS EMENDAS COM PARECER FAVORÁVEL";"    ";"0";"0";;;;
"20003";"VOTAÇÃO EM GLOBO DAS EMENDAS COM PARECER PELA REJEIÇÃO";"    ";"0";"0";;;;
"20005";"REQUERIMENTO DE RETIRADA DE PAUTA";"    ";"0";"0";;;;
"20051";"REQUERIMENTO DE VOTAÇÃO ARTIGO POR ARTIGO";"    ";"0";"0";;;;
"20052";"REQUERIMENTO DE QUEBRA DE INTERSTÍCIO";"    ";"0";"0";;;;
"20061";"REQUERIMENTO DE VOTAÇÃO PELO PROCESSO NOMINAL";"    ";"0";"0";;;;
"20169";"Nº 50/2016 - PSOL/CD, PCdoB/CD - AUDITORIA DA DÍVIDA PÚBLICA; E DESPESAS NÃO...";"    ";"0";"0";;;;
"20170";"Nº 52/2016 - MODERADOR/SF; PT, PSB, BL PP.../CD -  REFORMA DO ISS";"    ";"0";"0";;;;
